id,word_id,sense_id,ipa_us,audio_path,source_id,human_review
2e22322e-7b07-56fb-a9bb-93dee81042c5,bead1bb2-9d85-54d4-8f75-7d8fb21e91ae,1aca7022-2f75-5faf-a8be-707a311376d1,/ˈpreɡnənt/,,b3335777-dc5f-5448-a777-923e6115c08c,false
c2030918-c6a7-5434-9989-0f301514748e,2c24318c-5c70-5e7d-9e49-4bb171c7fce1,f977eef8-e770-5a99-871c-37d92284bc0c,biәd,,20bba4df-8a16-5e63-b73e-951692d95379,false
4495b409-2dae-52e2-a0e1-3eb26eb223a5,cf5f04de-92b8-5b10-873d-bf9e2f77e6d9,10b7ebce-3330-5b7b-854a-3c42d11900f0,slim,,20bba4df-8a16-5e63-b73e-951692d95379,false
3696067f-5268-58e6-857c-85b306c41ed5,9ecc3abc-0829-52c7-8751-8697a11a8a35,d8aa4592-9f8d-50ee-989b-e391761ce82c,/ker/,,b3335777-dc5f-5448-a777-923e6115c08c,false
5d571df1-f0ac-5013-bb7b-d202138ac5c2,23949bce-ce3a-57b5-bc72-a35066f91bc4,de4404c1-3d3b-502d-9b7a-42b14ee4769b,/səˈpɔːrt/,,b3335777-dc5f-5448-a777-923e6115c08c,false
f0188f85-5690-5eb1-b41e-5e13a297531d,9a0e9ea1-8a87-57fe-9fb5-e1ab519fc5b5,a06bfa59-3158-5c65-b3e4-7f4201fd2174,/lʌv/,,b3335777-dc5f-5448-a777-923e6115c08c,false
2c83fe64-e3e6-59d6-a0f5-64b9d7c2e65b,0092299b-5d58-5fbc-b483-461323aa2602,12de099a-b401-5b0a-ab98-9c5893ee52fa,/help/,,b3335777-dc5f-5448-a777-923e6115c08c,false
c268fad0-4cef-51b1-ac89-53dc99b6aca8,e408406a-e69c-56d8-b603-c6db80fbfdd9,819d1b9f-2dfb-576c-b3fc-237c007c878f,/lɪv/,,b3335777-dc5f-5448-a777-923e6115c08c,false
1f92be30-c12a-5a0c-ab19-5bca6735a95c,52bbe1ba-dfe0-5682-8d28-d234dd92867d,4eec6b22-7589-5961-9701-51cfa1aafedc,/ʃer/,,b3335777-dc5f-5448-a777-923e6115c08c,false
8f93bf1b-4893-5e3d-9cee-4ad3f4420eb1,09086ede-d825-5016-adae-e792304a9c4c,28173cca-fd95-5304-9bb6-3ddf5957ee80,/ˈvɪzɪt/,,b3335777-dc5f-5448-a777-923e6115c08c,false
ab9c13e3-75fe-5131-a7b2-9d771153b130,18803a68-ad85-586c-bd80-ae0dd86eaf5c,04c7333b-d3de-5584-8bde-2e79d26e259c,/miːt/,,b3335777-dc5f-5448-a777-923e6115c08c,false
99011daf-c689-5eb5-b888-3d5337a996dc,ef3e4eec-660f-511a-9450-cb498b02f6f8,9cccae4b-b7b3-5314-8da7-7391d887755a,/rɪˈleɪʃnʃɪp/,,b3335777-dc5f-5448-a777-923e6115c08c,false
05baa72d-6efd-5a60-8072-ed846bc16d1a,ff5c5a2b-0d1e-509e-b69a-f709b26e8e55,dfbbd175-590c-52bf-999a-4ad8d527b299,/rɪˈmembər/,,b3335777-dc5f-5448-a777-923e6115c08c,false
32ee2d73-52b9-5d88-8950-e3874d6aadbb,840ea61d-9926-50cc-a9c6-78e42124dade,a2580559-3afa-52ce-ab17-e8d73a0014d3,/nəʊ/,,b3335777-dc5f-5448-a777-923e6115c08c,false
27d33163-1a5a-5aab-968a-432832da1c49,fa87be24-490e-5e28-886f-d3b40cd3fe78,c9ffc9fe-0c71-5d2d-9fb6-f3a5a48f31e9,/naɪs/,,b3335777-dc5f-5448-a777-923e6115c08c,false
43c4b177-5c5b-5c1b-a0db-9b9bf3b7f045,3a662548-5eab-5c4d-9acd-4fbf458f03ba,09d6b176-d0ed-5f51-a970-4380fe06c1ee,/kaɪnd/,,b3335777-dc5f-5448-a777-923e6115c08c,false
b7bf2262-4363-5ccd-8447-86890391331e,20ae840a-5074-5bbb-9947-b9d46aa75b58,5b922210-27ca-57be-abda-0340508cbd33,/rɪˈspekt/,,b3335777-dc5f-5448-a777-923e6115c08c,false
85cc1b33-a118-5827-b069-bb6d6be8f30b,763502c3-d16b-5dc1-8c74-3ca90e395d37,5819dd44-6b1e-5b80-a5eb-5db36f865d87,/ˈkʌltʃər/,,b3335777-dc5f-5448-a777-923e6115c08c,false
fa9bb5fa-fc02-5c2f-b61c-08cade3c969d,4c91de05-4389-59fe-9424-69c9d4370c2f,65dd96a0-5d8d-55f8-803f-a93132aebd14,/ˈfrendli/,,b3335777-dc5f-5448-a777-923e6115c08c,false
932fd24d-b317-5e09-b8c3-f0ef649e4918,5bdcd7d7-c6a7-54be-84c1-c6c99360b012,f07dcc86-acbc-5353-bc8c-3eb0a9a2bf72,/kəˈmjuːnəti/,,b3335777-dc5f-5448-a777-923e6115c08c,false
